theta1,theta2,theta3,theta4,label
46.97493401088199,81.46923439005188,63.43494882292202,101.30993247402021,unstable
57.0947570770121,92.86240522611175,122.90524292298792,92.86240522611175,unstable
67.16634582208248,101.30993247402021,43.02506598911803,78.69006752597979,unstable
75.96375653207353,112.83365417791755,143.13010235415598,112.83365417791755,unstable
87.13759477388825,122.90524292298792,25.346175941946708,59.53445508054013,unstable
95.71059313749964,133.02506598911805,165.2564371635293,133.02506598911805,unstable
106.69924423399362,140.9061411137705,5.710593137499568,40.91438322002512,unstable
116.56505117707799,150.94539590092288,174.28940686250044,150.94539590092288,unstable
126.86989764584402,162.47443162627715,14.036243467926509,17.525568373722855,unstable
136.97493401088198,171.4692343900519,153.43494882292202,171.4692343900519,unstable
147.0947570770121,177.27368900609366,32.905242922987895,0.0,unstable
156.03751102542185,168.6900675259798,135.0,168.6900675259798,unstable
165.2564371635293,159.77514056883192,53.13010235415598,21.250505507133237,unstable
177.1375947738882,148.5704343851615,113.96248897457818,150.94539590092288,unstable
174.28940686250044,140.9061411137705,72.47443162627714,40.91438322002512,unstable
162.47443162627715,129.0938588862295,95.71059313749964,129.0938588862295,unstable
153.43494882292202,119.05460409907714,92.86240522611175,63.43494882292202,unstable
143.13010235415598,110.22485943116808,75.96375653207353,110.22485943116808,unstable
130.91438322002512,101.30993247402021,113.96248897457818,81.46923439005188,unstable
122.90524292298792,90.0,54.7824070318073,90.0,unstable
113.96248897457818,81.46923439005188,135.0,101.30993247402021,unstable
101.88865803962798,69.77514056883193,35.217592968192726,69.77514056883193,unstable
92.86240522611175,60.94539590092286,156.03751102542185,122.90524292298792,unstable
81.46923439005188,50.90614111377051,14.036243467926509,49.08561677997488,unstable
72.47443162627714,39.09385888622952,174.28940686250044,140.9061411137705,unstable
63.43494882292202,30.465544919459873,5.710593137499568,30.465544919459873,unstable
53.13010235415598,20.224859431168078,165.2564371635293,159.77514056883192,unstable
40.91438322002512,8.130102354156005,22.83365417791755,8.530765609948139,unstable
32.905242922987895,0.0,143.13010235415598,180.0,unstable
22.83365417791755,11.888658039627968,43.02506598911803,11.888658039627968,unstable
11.309932474020195,21.250505507133237,122.90524292298792,159.77514056883192,unstable
2.8624052261117785,30.465544919459873,63.43494882292202,32.905242922987895,unstable
8.530765609948139,40.91438322002512,104.0362434679265,140.9061411137705,unstable
16.69924423399364,49.08561677997488,84.28940686250034,53.13010235415598,unstable
26.565051177078008,62.10272896905237,84.28940686250034,119.05460409907714,unstable
36.86989764584401,72.47443162627714,104.74356283647074,72.47443162627714,unstable
46.97493401088199,81.46923439005188,63.43494882292202,101.30993247402021,unstable
57.0947570770121,92.86240522611175,122.90524292298792,92.86240522611175,unstable
67.16634582208248,101.30993247402021,43.02506598911803,78.69006752597979,unstable
75.96375653207353,112.83365417791755,143.13010235415598,112.83365417791755,unstable
87.13759477388825,122.90524292298792,25.346175941946708,59.53445508054013,unstable
95.71059313749964,133.02506598911805,165.2564371635293,133.02506598911805,unstable
106.69924423399362,140.9061411137705,5.710593137499568,40.91438322002512,unstable
116.56505117707799,150.94539590092288,174.28940686250044,150.94539590092288,unstable
126.86989764584402,162.47443162627715,14.036243467926509,17.525568373722855,unstable
136.97493401088198,171.4692343900519,153.43494882292202,171.4692343900519,unstable
147.0947570770121,177.27368900609366,32.905242922987895,0.0,unstable
156.03751102542185,168.6900675259798,135.0,168.6900675259798,unstable
165.2564371635293,159.77514056883192,53.13010235415598,21.250505507133237,unstable
177.1375947738882,148.5704343851615,113.96248897457818,150.94539590092288,unstable
174.28940686250044,140.9061411137705,72.47443162627714,40.91438322002512,unstable
162.47443162627715,129.0938588862295,95.71059313749964,129.0938588862295,unstable
153.43494882292202,119.05460409907714,92.86240522611175,63.43494882292202,unstable
143.13010235415598,110.22485943116808,75.96375653207353,110.22485943116808,unstable
130.91438322002512,101.30993247402021,113.96248897457818,81.46923439005188,unstable
122.90524292298792,90.0,54.7824070318073,90.0,unstable
113.96248897457818,81.46923439005188,135.0,101.30993247402021,unstable
101.88865803962798,69.77514056883193,35.217592968192726,69.77514056883193,unstable
92.86240522611175,60.94539590092286,156.03751102542185,122.90524292298792,unstable
81.46923439005188,50.90614111377051,14.036243467926509,49.08561677997488,unstable
72.47443162627714,39.09385888622952,174.28940686250044,140.9061411137705,unstable
63.43494882292202,30.465544919459873,5.710593137499568,30.465544919459873,unstable
53.13010235415598,20.224859431168078,165.2564371635293,159.77514056883192,unstable
40.91438322002512,8.130102354156005,22.83365417791755,8.530765609948139,unstable
32.905242922987895,0.0,143.13010235415598,180.0,unstable
22.83365417791755,11.888658039627968,43.02506598911803,11.888658039627968,unstable
11.309932474020195,21.250505507133237,122.90524292298792,159.77514056883192,unstable
2.8624052261117785,30.465544919459873,63.43494882292202,32.905242922987895,unstable
8.530765609948139,40.91438322002512,104.0362434679265,140.9061411137705,unstable
16.69924423399364,49.08561677997488,84.28940686250034,53.13010235415598,unstable
26.565051177078008,62.10272896905237,84.28940686250034,119.05460409907714,unstable
36.86989764584401,72.47443162627714,104.74356283647074,72.47443162627714,unstable
46.97493401088199,81.46923439005188,63.43494882292202,101.30993247402021,unstable
57.0947570770121,92.86240522611175,122.90524292298792,92.86240522611175,unstable
67.16634582208248,101.30993247402021,43.02506598911803,78.69006752597979,unstable
75.96375653207353,112.83365417791755,143.13010235415598,112.83365417791755,unstable
87.13759477388825,122.90524292298792,25.346175941946708,59.53445508054013,unstable
95.71059313749964,133.02506598911805,165.2564371635293,133.02506598911805,unstable
106.69924423399362,140.9061411137705,5.710593137499568,40.91438322002512,unstable
116.56505117707799,150.94539590092288,174.28940686250044,150.94539590092288,unstable
126.86989764584402,162.47443162627715,14.036243467926509,17.525568373722855,unstable
136.97493401088198,171.4692343900519,153.43494882292202,171.4692343900519,unstable
147.0947570770121,177.27368900609366,32.905242922987895,0.0,unstable
156.03751102542185,168.6900675259798,135.0,168.6900675259798,unstable
165.2564371635293,159.77514056883192,53.13010235415598,21.250505507133237,unstable
177.1375947738882,148.5704343851615,113.96248897457818,150.94539590092288,unstable
174.28940686250044,140.9061411137705,72.47443162627714,40.91438322002512,unstable
162.47443162627715,129.0938588862295,95.71059313749964,129.0938588862295,unstable
153.43494882292202,119.05460409907714,92.86240522611175,63.43494882292202,unstable
143.13010235415598,110.22485943116808,75.96375653207353,110.22485943116808,unstable
130.91438322002512,101.30993247402021,113.96248897457818,81.46923439005188,unstable
122.90524292298792,90.0,54.7824070318073,90.0,unstable
113.96248897457818,81.46923439005188,135.0,101.30993247402021,unstable
101.88865803962798,69.77514056883193,35.217592968192726,69.77514056883193,unstable
92.86240522611175,60.94539590092286,156.03751102542185,122.90524292298792,unstable
81.46923439005188,50.90614111377051,14.036243467926509,49.08561677997488,unstable
72.47443162627714,39.09385888622952,174.28940686250044,140.9061411137705,unstable
63.43494882292202,30.465544919459873,5.710593137499568,30.465544919459873,unstable
53.13010235415598,20.224859431168078,165.2564371635293,159.77514056883192,unstable
40.91438322002512,8.130102354156005,22.83365417791755,8.530765609948139,unstable
32.905242922987895,0.0,143.13010235415598,180.0,unstable
22.83365417791755,11.888658039627968,43.02506598911803,11.888658039627968,unstable
11.309932474020195,21.250505507133237,122.90524292298792,159.77514056883192,unstable
2.8624052261117785,30.465544919459873,63.43494882292202,32.905242922987895,unstable
8.530765609948139,40.91438322002512,104.0362434679265,140.9061411137705,unstable
16.69924423399364,49.08561677997488,84.28940686250034,53.13010235415598,unstable
26.565051177078008,62.10272896905237,84.28940686250034,119.05460409907714,unstable
36.86989764584401,72.47443162627714,104.74356283647074,72.47443162627714,unstable
46.97493401088199,81.46923439005188,63.43494882292202,101.30993247402021,unstable
57.0947570770121,92.86240522611175,122.90524292298792,92.86240522611175,unstable
67.16634582208248,101.30993247402021,43.02506598911803,78.69006752597979,unstable
75.96375653207353,112.83365417791755,143.13010235415598,112.83365417791755,unstable
87.13759477388825,122.90524292298792,25.346175941946708,59.53445508054013,unstable
95.71059313749964,133.02506598911805,165.2564371635293,133.02506598911805,unstable
106.69924423399362,140.9061411137705,5.710593137499568,40.91438322002512,unstable
116.56505117707799,150.94539590092288,174.28940686250044,150.94539590092288,unstable
126.86989764584402,162.47443162627715,14.036243467926509,17.525568373722855,unstable
136.97493401088198,171.4692343900519,153.43494882292202,171.4692343900519,unstable
147.0947570770121,177.27368900609366,32.905242922987895,0.0,unstable
156.03751102542185,168.6900675259798,135.0,168.6900675259798,unstable
165.2564371635293,159.77514056883192,53.13010235415598,21.250505507133237,unstable
177.1375947738882,148.5704343851615,113.96248897457818,150.94539590092288,unstable
174.28940686250044,140.9061411137705,72.47443162627714,40.91438322002512,unstable
162.47443162627715,129.0938588862295,95.71059313749964,129.0938588862295,unstable
153.43494882292202,119.05460409907714,92.86240522611175,63.43494882292202,unstable
143.13010235415598,110.22485943116808,75.96375653207353,110.22485943116808,unstable
130.91438322002512,101.30993247402021,113.96248897457818,81.46923439005188,unstable
122.90524292298792,90.0,54.7824070318073,90.0,unstable
113.96248897457818,81.46923439005188,135.0,101.30993247402021,unstable
101.88865803962798,69.77514056883193,35.217592968192726,69.77514056883193,unstable
92.86240522611175,60.94539590092286,156.03751102542185,122.90524292298792,unstable
81.46923439005188,50.90614111377051,14.036243467926509,49.08561677997488,unstable
72.47443162627714,39.09385888622952,174.28940686250044,140.9061411137705,unstable
63.43494882292202,30.465544919459873,5.710593137499568,30.465544919459873,unstable
53.13010235415598,20.224859431168078,165.2564371635293,159.77514056883192,unstable
40.91438322002512,8.130102354156005,22.83365417791755,8.530765609948139,unstable
32.905242922987895,0.0,143.13010235415598,180.0,unstable
22.83365417791755,11.888658039627968,43.02506598911803,11.888658039627968,unstable
11.309932474020195,21.250505507133237,122.90524292298792,159.77514056883192,unstable
2.8624052261117785,30.465544919459873,63.43494882292202,32.905242922987895,unstable
8.530765609948139,40.91438322002512,104.0362434679265,140.9061411137705,unstable
16.69924423399364,49.08561677997488,84.28940686250034,53.13010235415598,unstable
26.565051177078008,62.10272896905237,84.28940686250034,119.05460409907714,unstable
36.86989764584401,72.47443162627714,104.74356283647074,72.47443162627714,unstable
46.97493401088199,81.46923439005188,63.43494882292202,101.30993247402021,unstable
57.0947570770121,92.86240522611175,122.90524292298792,92.86240522611175,unstable
67.16634582208248,101.30993247402021,43.02506598911803,78.69006752597979,unstable
75.96375653207353,112.83365417791755,143.13010235415598,112.83365417791755,unstable
87.13759477388825,122.90524292298792,25.346175941946708,59.53445508054013,unstable
95.71059313749964,133.02506598911805,165.2564371635293,133.02506598911805,unstable
106.69924423399362,140.9061411137705,5.710593137499568,40.91438322002512,unstable
116.56505117707799,150.94539590092288,174.28940686250044,150.94539590092288,unstable
126.86989764584402,162.47443162627715,14.036243467926509,17.525568373722855,unstable
136.97493401088198,171.4692343900519,153.43494882292202,171.4692343900519,unstable
147.0947570770121,177.27368900609366,32.905242922987895,0.0,unstable
156.03751102542185,168.6900675259798,135.0,168.6900675259798,unstable
165.2564371635293,159.77514056883192,53.13010235415598,21.250505507133237,unstable
177.1375947738882,148.5704343851615,113.96248897457818,150.94539590092288,unstable
174.28940686250044,140.9061411137705,72.47443162627714,40.91438322002512,unstable
162.47443162627715,129.0938588862295,95.71059313749964,129.0938588862295,unstable
153.43494882292202,119.05460409907714,92.86240522611175,63.43494882292202,unstable
